brand,colour,avg_rating
dupatta bazaar,white,4.548826646
roadster,mustard,4.313255218
inddus,peach,4.068965517
sassafras,black,4.147523016
kotty,black,4.078466558
kassually,black,4.349213911
sassafras,brown,4.395351998
sera,multi,4.288
tokyo talkies,black,4.530711207
anouk,black,3.80952381
roadster,mauve,4.21143617
saree mall,pink,3.980099502
tokyo talkies,maroon,3.912
khushal k,black,4.418398939
anubhutee,pink,4.249084249
montrez,white,4.37704918
styli,gold,4.345746812
chemistry,blue,4.314444444
inddus,pink,3.985849057
sassafras,black,4.478017048
dolce crudo,black,4.112214864
weavers villa,pink,4.652173913
kassually,black,4.075548939
tokyo talkies,black,4.455331412
athena,fuchsia,4.5281745
inddus,teal,4.45
allen solly woman,grey,4.54887218
azira,multi,4.249130435
inweave,orange,4.11933395
anouk,mauve,4.32
anayna,maroon,4.21875
fashionuma,green,4.3125
bostreet,maroon,4.40625
h&m,red,4.5
purys,off white,4.244755245
taavi,blue,4.169265033
tokyo talkies,maroon,4.346867749
mitera,yellow,4.454315708
roadster,blue,4.283898305
roadster,white,4.300708307
roadster,blue,4.45251858
tokyo talkies,green,4.253859348
qomn,navy blue,4.357414449
anubhutee,navy blue,4.16152968
cottinfab,rust,4.1
jatriqq,magenta,3.754237288
house of pataudi,green,4.333333333
trend arrest,black,4.8
styli,brown,4.519791667
addyvero,black,4.239583333
kotty,black,3.944444444
purple feather,black,4.206230284
athena,burgundy,4.357034796
sassafras,black,4.488146113
sassafras,off white,4.384651824
sassafras,blue,4.210894309
readiprint fashions,pink,4.234899329
nayo,maroon,4.210884354
nayo,red,4.088986142
zastraa,black,4.290203327
anayna,white,4.166666667
vastranand,peach,4.237918216
kvsfab,maroon,4.142857143
sangria,beige,3.333333333
berrylush,green,3.764705882
buy new trend,blue,3.981651376
tokyo talkies,beige,3.726415094
tokyo talkies,purple,4.857142857
roadster,coral,4.226287846
roadster,maroon,3.645085344
dupatta bazaar,white,4.536250816
ahika,black,3.978377362
tokyo talkies,black,4.282375852
hangup,cream,4.150793651
kotty,navy blue,4.164269624
qomn,pink,4.348484848
marks & spencer,green,4.611940299
tokyo talkies,black,4.367647059
libas,burgundy,4.351724138
shaily,maroon,4.2
shaye,fuchsia,4.173913043
ani,blue,4
fabpixel,red,4
mango,navy blue,4.087397208
h&m,white,4.174794416
dolce crudo,blue,4.262191624
roadster,navy blue,4.314136126
athena,white,4.19
roadster,charcoal,4.254166667
sassafras,sea green,4.425041186
vishudh,lime green,4.281188119
roadster,green,4.146551724
biba,pink,4.170498084
montrez,blue,4.194444444
urbanic,brown,4.454545455
soch,red,4.465909091
nirja fab,pink,4.477272728
stylum,pink,4.488636364
broadstar,black,4.5
fashionuma,maroon,4.35913418
max,purple,4.218268359
sweet dreams,grey,4.077402539
roadster,blue,3.936536718
chemistry,blue,4.132664437
tokyo talkies,blue,4.241409692
quiero,black,4.473443884
sassafras,mustard,4.296836983
tokyo talkies,navy blue,4.016544118
chemistry,blue,4.18220339
w,teal,4.313186813
libas,navy blue,4.435652674
weavers villa,white,4.609489051
kalini,maroon,3.893442623
h&m,black,4.715686275
anubhutee,black,4.456140351
jatriqq,green,3.8125
cutiekins,pink,3.222222222
styli,red,4.027777778
addyvero,black,4.833333333
sassafras,black,4.09666299
style quotient,white,4.433611289
bitiya by bhama,pink,4.212701613
roadster,blue,4.450539568
sassafras,white,4.179491934
vishudh,off white,3.507042254
ahalyaa,beige,3.545089029
mitera,pink,4.314308053
98 degree north,black,4.405844156
here&now,beige,4.37244898
tokyo talkies,yellow,4.25
shaye,cream,4.220700152
deebaco,magenta,3.918181818
inddus,lavender,4.347979798
mango,green,4.777777778
sirikit,black,4.615147732
emprall,pink,4.452517686
wisstler,black,4.28988764
jaipur kurti,white,4.064643399
sassafras,cream,4.181169757
roadster,mustard,4.245421245
inddus,purple,4.472019465
h&m,black,4.559338521
dressberry,magenta,4.124113475
anouk,yellow,4.245864233
mast & harbour,navy blue,4.07568438
kvsfab,multi,4.361111111
dupatta bazaar,orange,4.366666667
berrylush,sea green,3.8
street 9,maroon,4.268413598
fabpixel,orange,4
purple state,black,4.6
popwings,black,4.222222222
kalini,red,4.076955514
mast & harbour,black,3.931688805
tokyo talkies,green,4.457974138
stylestone,black,4.239018088
van heusen woman,navy blue,4.475
kotty,blue,4.131245339
rare,navy blue,4.459921156
popnetic,black,4.309139785
nayo,burgundy,3.964879852
sangria,pink,4.538461538
saree mall,pink,4.183922046
inweave,off white,3.322683706
khushal k,green,4.266037736
yoonoy,pink,4.363636364
mast & harbour,green,4.294485578
biba,pink,4.225334793
bostreet,brown,4.156184007
aspora,black,4.087033222
ives,olive,4.017882436
pluss,olive,4.018858916
hrx by hrithik roshan,white,4.310897436
libas,pink,3.963239975
bitiya by bhama,pink,4.022900763
wisstler,blue,3.99862543
mast & harbour,pink,4.36461126
sera,blue,4.028571429
anouk,sea green,4.428571429
taavi,green,4.6
mango,rose,4.532631579
roadster,blue,4.465263158
m&h easy,navy blue,4.397894737
biba,yellow,4.330526316
montrez,white,4.263157895
tokyo talkies,blue,3.777777778
bostreet,burgundy,4.162573099
espresso,black,4.547368421
sera,blue,4.150346192
sassafras,beige,4.269180754
taavi,navy blue,4.331989247
roadster,blue,4.509966777
varanga,mustard,4.254328112
chkokko,black,4.182130584
shewill,mustard,4.03125
sangria,maroon,4.3
my little lambs,pink,4.208333333
h&m,white,4.662790698
deebaco,pink,4.428571429
h&m,black,4.475409836
van heusen woman,maroon,4.359797942
urbanic,black,4.244186047
hive91,black,4.222093024
alaya by stage3,green,4.2
sassafras,navy blue,4.303102625
sangria,green,3.540650407
style quotient,off white,4.033854167
street 9,olive,4.346366341
chemistry,blue,3.941326531
dupatta bazaar,black,4.547413793
mitera,brown,4.303108808
slazenger,black,4.220264317
