brand,avg_rating
dupatta bazaar,4.548826646
roadster,4.313255218
inddus,4.068965517
sassafras,4.147523016
kotty,4.078466558
kassually,4.349213911
sassafras,4.395351998
sera,4.288
tokyo talkies,4.530711207
anouk,3.80952381
roadster,4.21143617
saree mall,3.980099502
tokyo talkies,3.912
khushal k,4.418398939
anubhutee,4.249084249
montrez,4.37704918
styli,4.345746812
chemistry,4.314444444
inddus,3.985849057
sassafras,4.478017048
dolce crudo,4.112214864
weavers villa,4.652173913
kassually,4.075548939
tokyo talkies,4.455331412
athena,4.5281745
inddus,4.45
allen solly woman,4.54887218
azira,4.249130435
inweave,4.11933395
anouk,4.32
anayna,4.21875
fashionuma,4.3125
bostreet,4.40625
h&m,4.5
purys,4.244755245
taavi,4.169265033
tokyo talkies,4.346867749
mitera,4.454315708
roadster,4.283898305
roadster,4.300708307
roadster,4.45251858
tokyo talkies,4.253859348
qomn,4.357414449
anubhutee,4.16152968
cottinfab,4.1
jatriqq,3.754237288
house of pataudi,4.333333333
trend arrest,4.8
styli,4.519791667
addyvero,4.239583333
kotty,3.944444444
purple feather,4.206230284
athena,4.357034796
sassafras,4.488146113
sassafras,4.384651824
sassafras,4.210894309
readiprint fashions,4.234899329
nayo,4.210884354
nayo,4.088986142
zastraa,4.290203327
anayna,4.166666667
vastranand,4.237918216
kvsfab,4.142857143
sangria,3.333333333
berrylush,3.764705882
buy new trend,3.981651376
tokyo talkies,3.726415094
tokyo talkies,4.857142857
roadster,4.226287846
roadster,3.645085344
dupatta bazaar,4.536250816
ahika,3.978377362
tokyo talkies,4.282375852
hangup,4.150793651
kotty,4.164269624
qomn,4.348484848
marks & spencer,4.611940299
tokyo talkies,4.367647059
libas,4.351724138
shaily,4.2
shaye,4.173913043
ani,4
fabpixel,4
mango,4.087397208
h&m,4.174794416
dolce crudo,4.262191624
roadster,4.314136126
athena,4.19
roadster,4.254166667
sassafras,4.425041186
vishudh,4.281188119
roadster,4.146551724
biba,4.170498084
montrez,4.194444444
urbanic,4.454545455
soch,4.465909091
nirja fab,4.477272728
stylum,4.488636364
broadstar,4.5
fashionuma,4.35913418
max,4.218268359
sweet dreams,4.077402539
roadster,3.936536718
chemistry,4.132664437
tokyo talkies,4.241409692
quiero,4.473443884
sassafras,4.296836983
tokyo talkies,4.016544118
chemistry,4.18220339
w,4.313186813
libas,4.435652674
weavers villa,4.609489051
kalini,3.893442623
h&m,4.715686275
anubhutee,4.456140351
jatriqq,3.8125
cutiekins,3.222222222
styli,4.027777778
addyvero,4.833333333
sassafras,4.09666299
style quotient,4.433611289
bitiya by bhama,4.212701613
roadster,4.450539568
sassafras,4.179491934
vishudh,3.507042254
ahalyaa,3.545089029
mitera,4.314308053
98 degree north,4.405844156
here&now,4.37244898
tokyo talkies,4.25
shaye,4.220700152
deebaco,3.918181818
inddus,4.347979798
mango,4.777777778
sirikit,4.615147732
emprall,4.452517686
wisstler,4.28988764
jaipur kurti,4.064643399
sassafras,4.181169757
roadster,4.245421245
inddus,4.472019465
h&m,4.559338521
dressberry,4.124113475
anouk,4.245864233
mast & harbour,4.07568438
kvsfab,4.361111111
dupatta bazaar,4.366666667
berrylush,3.8
street 9,4.268413598
fabpixel,4
purple state,4.6
popwings,4.222222222
kalini,4.076955514
mast & harbour,3.931688805
tokyo talkies,4.457974138
stylestone,4.239018088
van heusen woman,4.475
kotty,4.131245339
rare,4.459921156
popnetic,4.309139785
nayo,3.964879852
sangria,4.538461538
saree mall,4.183922046
inweave,3.322683706
khushal k,4.266037736
yoonoy,4.363636364
mast & harbour,4.294485578
biba,4.225334793
bostreet,4.156184007
aspora,4.087033222
ives,4.017882436
pluss,4.018858916
hrx by hrithik roshan,4.310897436
libas,3.963239975
bitiya by bhama,4.022900763
wisstler,3.99862543
mast & harbour,4.36461126
sera,4.028571429
anouk,4.428571429
taavi,4.6
mango,4.532631579
roadster,4.465263158
m&h easy,4.397894737
biba,4.330526316
montrez,4.263157895
tokyo talkies,3.777777778
bostreet,4.162573099
espresso,4.547368421
sera,4.150346192
sassafras,4.269180754
taavi,4.331989247
roadster,4.509966777
varanga,4.254328112
chkokko,4.182130584
shewill,4.03125
sangria,4.3
my little lambs,4.208333333
h&m,4.662790698
deebaco,4.428571429
h&m,4.475409836
van heusen woman,4.359797942
urbanic,4.244186047
hive91,4.222093024
alaya by stage3,4.2
sassafras,4.303102625
sangria,3.540650407
style quotient,4.033854167
street 9,4.346366341
chemistry,3.941326531
dupatta bazaar,4.547413793
mitera,4.303108808
slazenger,4.220264317
ahika,4.095425868
salwar studio,4.2
mast & harbour,4.558333334
the souled store,4.916666667
fashion basket,3.31372549
zink london,3.500663535
ginger by lifestyle,3.68760158
bostreet,3.874539626
powersutra,4.061477671
roadster,4.248415716
vishudh,4.032884903
roadster,4.40990991
sassafras,3.948499444
vishudh,4.254032258
anouk,4.385487528
m&h juniors,4
here&now,4.293814433
dressberry,3.818181818
berrylush,4.164556962
kalini,4.164383562
h&m,4.662068966
sangria,3.62962963
pspeaches,3.904601572
mango,4.179573513
montrez,4.454545455
kvsfab,4.299704361
roadster,4.144863267
tokyo talkies,4.163624921
tokyo talkies,4.451145959
tokyo talkies,4.328877005
anouk,4.231191653
hrx by hrithik roshan,3.671974522
all about you,3.977777778
anouk,4.207964602
biba,4.875
sangria,4.666666667
sassafras,4.185185185
united liberty,4.338709677
h&m,4.365896648
biba,4.393083619
shopgarb,4.420270589
oxolloxo,4.44745756
wisstler,4.474644531
sassafras,4.501831502
dressberry,4.104166667
sera,3.991285403
vishudh,4.171206226
anouk,4.181818182
taavi,4.727272727
saree mall,3.959601874
shewill,4.37037037
mast & harbour,4.224160686
paris hamilton,4.077951002
ani,4.086956522
h&m,4.325
sera,4.234375
berrylush,4.428571429
akimia,4.404427233
shewill,4.380283037
tokyo talkies,4.356138841
anayna,4.331994645
rute,3.959677419
bhama couture,4.268493151
sassafras,4.307320998
blissta,4.209302326
stylestone,4.3
mast & harbour,4.235294118
varanga,4.057426836
anouk,4.154185022
urbanic,3.875
vero moda,4.198369565
h&m,4.52173913
anti culture,3.903225806
aahwan,4.473684211
tokyo talkies,4.314910406
max,4.156136601
the magic wand,3.997362795
bhama couture,3.83858899
ahika,4.093285653
roadster,4.300225734
door74,3.483394834
veni vidi vici,4.399253731
pluss,4.266958425
piccolo,4.241935484
mango,4.241758242
ani,3.96
wisstler,4.416666667
sangria,4.571969697
angel & rocket,4.727272727
bostreet,4.590876612
alaya by stage3,4.454480496
bostreet,4.318084381
satrani,4.181688265
zainab chottani,4.04529215
rare,3.908896034
anubhutee,4.285094067
roadster,4.53115727
hrx by hrithik roshan,3.510869565
sassafras,4.083743842
sassafras,4.209018568
anouk,4.370165746
lilpicks,4.283783784
roadster,4.392720307
mango,4.172222223
mitera,3.951724138
biba,3.981749941
dupatta bazaar,4.011775745
urbanic,4.041801548
delan,4.071827352
h&m,4.101853155
fame forever by lifestyle,4.131878959
bhama couture,4.161904762
orchid blues,4.163286531
mitera,4.432692308
style quotient,4.43163309
sassafras,4.117647059
miss chase,4.044444444
h&m,4.481595092
mast & harbour,4.328656971
kalini,4.17571885
roadster,4.6
puma,4.531031064
pashtush,4.462062128
harpa,4.393093192
indya,4.324124256
tokyo talkies,4.255155321
charu,4.186186385
kvsfab,4.117217449
sassafras,4.048248513
here&now,4.280701754
here&now,4.8
mitera,3.826737968
libas,4.338235294
max,4.517241379
myshka,4.042253521
roadster,4.121126761
all about you,4.2
street 9,4.25
h&m,4.220930233
montrez,4.191860465
kiroshe by kiran,4.162790698
h&m,4.13372093
styli,4.104651163
fashion basket,4.075581395
morly,4.046511628
bhama couture,4.01744186
pluss,4.278657968
miss chase,4.226133333
dupatta bazaar,4.245762712
roadster,4.429149798
jaipuri bunaai,4.044416244
house of pataudi,4.37254902
tokyo talkies,3.591836735
anouk,3.818181818
street 9,3.75
biba,3.836372494
montrez,3.922744989
bostreet,4.009117483
urbanic,4.095489978
malachi,4.181862472
puma,4.268234966
ayaany,4.354607461
shaily,4.440979955
roadster,4.536094675
high star,4.341365462
roadster,4.401869159
pluss,4.400696864
libas,4.223880597
sassafras,3.690607735
sassafras,4.866666667
dressberry,4.277777778
house of pataudi,4.5
kalini,3.94214876
house of pataudi,4.333333333
forever new,4.266666667
h&m,4.2
next one,4.4
kvsfab,4.281818182
bostreet,4.163636363
anouk,4.045454545
tokyo talkies,4.247524752
tokyo talkies,3.979626486
roadster,4.471962617
roadster,4.095975232
indo era,4.299941759
readiprint fashions,4.6
inddus,4.171428571
tokyo talkies,4.393617021
purys,4.184210526
bewakoof,4.857142857
urbanic,3.8
soch,3.887645108
mango,3.975290216
bostreet,4.062935324
h&m,4.150580431
apratim,4.238225539
tokyo talkies,4.325870647
scorpius,3.5
roadster,4.371621622
berrylush,4.457446809
berrylush,4.065868263
here&now,4.5
anouk,4.084249084
mitera,3.472727273
qomn,4.259259259
elleven,4.29297246
sangria,4.32668566
mango,4.360398861
fashion basket,4.394112061
lc waikiki,4.427825262
addyvero,4.461538462
max,4.33568213
taavi,4.083969466
tokyo talkies,4.139562743
marks & spencer,4.388888889
roadster,3.822372284
rajnandini,4.175324675
anouk,3.65
rajnandini,4.375
mast & harbour,4.481617647
inddus,4.588235294
clora creation,4.044117647
kassually,3.5
vishudh,4.276923077
montrez,4.194444444
forever 21,4.241619125
coastland,4.288793806
max,4.335968486
toulin,4.383143167
chemistry,4.430317848
allen solly woman,3.953125
purple state,4.333333333
varanga,3.751404494
pashmoda,4.495575221
ishin,4.204935174
berrylush,4.112612613
bitiya by bhama,3.987341772
biba,3.928856071
athena,3.87037037
saree mall,4.108433735
h&m,4.52
kassually,4.444444444
flying machine,4.291666667
v-mart,4.247711039
styli,4.203755411
kalini,4.159799784
roadster,4.115844156
zastraa,4.192307692
nayo,4.091139241
kassually,4.274413099
vishudh,3.878125
leather retail,4.142857143
libas,4.310539019
sassafras,4.269230769
mast & harbour,4.356837607
puma,4.444444444
all about you,4.512820513
house of pataudi,4
sassafras,4.277777778
moda chales,4.289986559
soch,4.302195341
b.copenhagen,4.314404122
tokyo talkies,4.326612903
tokyo talkies,3.915567282
roadster,4.060150376
panchhi,4.484848485
athena,4.28226445
mango,4.269440164
nayo,4.256615878
deebaco,3.722222222
mitera,4.143478261
chhabra 555,4.137395696
vishudh,4.131313131
sangria,3.628156566
inddus,3.125
flying machine,3.694078948
h&m,4.263157895
ginger by lifestyle,4.10877193
myshka,3.954385965
biba,3.8
style quotient,4.095238095
tokyo talkies,4.23880597
taavi,4.857142857
shae by sassafras,4.373737374
mast & harbour,4.262013196
saree mall,4.150289017
juniper,4.1875
roadster,4.219824498
shinoy,4.252148997
h&m,4.052631579
fablestreet,4.20131579
virah fashion,4.35
alaya by stage3,4.342391681
jatriqq,4.334783362
sumavi-fashion,4.327175044
mameraa,4.319566725
tokyo talkies,4.311958406
scorpius,3.482300885
indo era,4.222585692
roadster,4.40600316
shae by sassafras,4.428571429
98 degree north,4.457831325
urbanic,4.076137885
popnetic,3.694444444
roadster,4.285714286
mitera,4.155844156
dupatta bazaar,4.19091566
la aimee,4.225987163
gerua,4.261058667
minos,4.296130171
soch,4.331201674
styli,4.366273178
jbn creation,4.401344681
tokyo talkies,4.436416185
kassually,3.53125
anouk,4.092243187
high star,4.325
taavi,4.346153846
anouk,4.038961039
kvsfab,4.363636364
20dresses,4.611111111
mango,4.51984127
shae by sassafras,4.428571429
mango,4.25
patrorna,4.085714286
forever 21,3.921428572
street 9,3.757142857
dressberry,3.592857143
fashion basket,3.428571429
biba,3.6484255
juniper,3.86827957
dolce crudo,4.103869654
hangup,2.888888889
antheaa,4.239416058
vishudh,3.828985507
tokyo talkies,4.572528883
mast & harbour,4.53125
indya,4.392857143
anouk,3.99122807
inddus,4.15
broadstar,4.156760204
anouk,4.163520408
forever 21,4.170280612
divine international trading co,4.177040817
aturabi,4.183801021
fame forever by lifestyle,4.190561225
vero moda,4.197321429
biba,4.204081633
deewa,3.946804713
style quotient,3.985714286
weavers villa,4.569230769
jainish,4.424523642
sassafras,4.279816514
here&now,4.355035605
varanga,3.939393939
moda rapido,4.108585859
vishudh,4.277777778
blue giraffe,4.375661376
levis,4.473544973
h&m,4.571428571
stylee lifestyle,4.418138707
puma,4.264848844
darzi,4.11155898
zainab chottani,3.958269117
scorpius,3.804979253
bhama couture,3.982978723
ahika,3.85701107
roadster,3.994680851
pluss,4.147058824
fablestreet,4.514084507
h&m,4.833333333
soch,4.416666666
house of pataudi,4
mitera,3.943005181
mango,4.25829975
harpa,4.57359432
berrylush,4.888888889
jc collection,4.698050932
iuga,4.507212975
the pink moon,4.316375018
soch,4.125537061
tikhi imli,3.934699104
anayna,4.128
sassafras,4.079147641
ahalyaa,4.215628357
513,4.573529412
harpa,3.862652869
m&h easy,4.323529412
dupatta bazaar,4.536585366
biba,4.502667683
h&m,4.46875
cutecumber,4.530133929
mango,4.591517857
mast & harbour,4.652901786
urbanic,4.714285714
nike,4.56300551
bitterlime,4.411725306
q-rious,4.260445101
aasi - house of nayo,4.109164897
sassafras,4.423380727
roadster,4.553398058
vastranand,4.12522686
mast & harbour,4.120481928
campus sutra,4.171352075
taavi,4.222222222
marks & spencer,4.014957265
harvard,3.807692308
tokyo talkies,4.032786885
kbz,4.677419355
m&h easy,4.357142857
harpa,4.478571429
h&m,4.6
gerua,4.54917593
fashion you,4.498351859
fashion basket,4.447527789
street 9,4.396703718
tokyo talkies,4.314781022
dolce crudo,3.807748538
pashtush,4.170731707
dressberry,4.333333333
sangria,3.528985507
tokyo talkies,5
anubhutee,3.55721393
zigo,4.114285714
sangria,3.885714286
la aimee,3.657142857
woowzerz,3.428571429
sangria,3.582857143
mango,3.737142857
kiroshe by kiran,3.891428572
stylee lifestyle,4.045714286
forever new,4.2
mayra,3.919075145
anouk,4.076846307
vishudh,4.271828666
v&m,3.847457627
campus sutra,3.36
zink london,4.043478261
jaipur attire,3.79966611
ira soleil,3.642857143
mango,4.588235294
mitera,4.152173913
safaa,4.295709761
mayra,4.439245609
h&m,4.582781457
jc collection,4.25690797
urbanic,3.931034483
fabpixel,4.4
max,4.352960527
chemistry,4.305921053
global desi,4.159663866
mast & harbour,3.876
m&h easy,4.456790123
dupatta bazaar,4.382978723
jockey,4.333333333
h&m,4.153846154
mayra,3.769230769
warthy ent,4
vero moda,4.4
style quotient,4
mango,4.25862069
urbanic,4.517241379
urbanic,4.509031198
nalli next,4.500821018
biba,4.492610837
fashor,4.484400657
roadster,4.476190476
inweave,4
campus sutra,4.419354839
rang gali,3.772727273
vero moda,3.6
shae by sassafras,3.95625
street 9,4.3125
sassafras,3.632653061
varanga,3.543599258
vastranand,3.454545455
darzi,3.428571429
divine international trading co,3.73015873
styli,4.031746032
kalini,4.333333333
anouk,4.27593361
mango,4.218533886
vishudh,4.10373444
high star,4.530526316
rajnandini,3.6
mango,4.1125
hypernation,4.625
levis,4.6
jc collection,4.583908046
vero moda,4.567816092
united liberty,4.551724138
clora creation,4.590038314
femella,4.628352491
vbuyz,4.666666667
indi inside,3.872340426
styli,3.958924972
taffykids,4.045509519
pluss,4.132094065
h&m,4.218678612
mabish by sonal jain,4.305263158
janasya,4.210526316
all about you,4.297619048
u&f,3.919191919
scorpius,3.96
taavi,4.04
anouk,3.934285714
anouk,4.164444444
h&m,4.833333333
kassually,4.286231884
mango,3.739130435
biba,4.089565218
juniper,4.44
ix impression,4.36817357
here&now,4.29634714
madame,4.22452071
h&m,4.15269428
pluss,4.08086785
berrylush,4.345588235
bhama couture,4.339285714
domyos by decathlon,4.452380952
tokyo talkies,4.067669173
samsara couture,3.625
biba,3.5
roadster,3.866666667
mitera,4.406593407
shewill,4.37119414
get wrapped,4.335794872
urbanic,4.300395605
indya,4.264996337
forever 21,4.22959707
only,4.194197802
disrupt,4.158798535
h&m,4.123399267
tokyo talkies,4.088
roadster,3.960505529
sera,4.085714286
dupatta bazaar,4.22706767
fablestreet,4.368421053
mast & harbour,4.577777778
harvard,4.373134328
varanga,3.531531532
sangria,4.288888889
varanga,3.794247788
mango,4.18283818
saubhagya,4.571428571
luyk,4.472789115
heart up my sleeves,4.37414966
swtantra,4.275510204
shaily,4.176870748
allen solly woman,4.078231293
sqew,3.979591837
tokyo talkies,4.388297872
sassafras,4.208806818
anayna,4.571428571
roadster,4.111111111
oxolloxo,3.423076923
saree mall,4.392857143
shae by sassafras,4.276785715
sassafras,4.160714286
tankhi,3.865384615
biba,4.099358974
clora creation,4.333333333
white fire,2
lill,3.5
kalini,3.6
anti culture,3.812698413
max,4.025396825
sassafras,4.238095238
uptownie lite,4.204585538
berrylush,4.508333333
tokyo talkies,3.94980695
vishudh,4.542857143
fablestreet,4.483870968
sassafras,4.208333333
divyank,4.233959819
shaily,4.045551338
inweave,3.857142857
forever 21,4.818181818
paralians,4.888888889
forever 21,4.425925926
fashion basket,3.962962963
apnisha,3.5
urbanic,3.672348485
urbanic,3.84469697
rajnandini,4.017045455
anubhutee,4.347490347
mitera,4.086805556
hypernation,4.513513514
here&now,4.099770642
ethnovogue,4.310344828
soch,4.515625
berrylush,4.454545455
tokyo talkies,4.35
libas,4.298850575
mango,4.28256705
max,4.266283525
vastrado,4.25
nifty,4.283116883
mango,4.316233766
aturabi,4.34935065
h&m,4.382467533
dupatta bazaar,4.415584416
dolce crudo,4.300851466
sangria,3.954220315
fablestreet,4.302681992
dressberry,4.095238095
mango,4.204545455
zink london,4
luni,4.56
indo era,4.105263158
h&m,4.545454545
all about you,3.642857143
one friday,3.918202765
sangria,4.193548387
soch,4.118510585
shae by sassafras,4.043472782
tokyo talkies,3.96843498
allen solly woman,3.893397177
ether,3.818359375
scorpius,3.731707317
anayna,4.299465241
sassafras,3.953736655
